site,email,is_partner_domain,error
https://rarus.ru,1c@rarus.ru,yes,
https://rarus.ru,rs@rarus.ru,yes,
https://rarus.ru,cto@rarus.ru,yes,
https://rarus.ru,hline_1c@eprof.ru,no,
https://rarus.ru,info@sms4b.ru,no,
https://rarus.ru,oblako@rarus.ru,yes,
https://www.1ab.ru,order@1ab.ru,yes,
https://www.1ab.ru,hl@1ab.ru,yes,
https://www.1cbit.ru,,,
https://www.koderline.ru,,,
https://gendalf.ru,gendalf@gendalf.ru,yes,
https://gendalf.ru,student@gendalf.ru,yes,
https://gendalf.ru,internet@gendalf.ru,yes,
https://gendalf.ru,pr@gendalf.ru,yes,
https://is1c.ru,info@is1c.ru,yes,
https://is1c.ru,info@corp-it-projects.ru,no,
https://is1c.ru,info@automation-business.ru,no,
https://is1c.ru,info@solution-business.ru,no,
https://is1c.ru,info@automation-gov.ru,no,
https://axioma-soft.ru,info@axioma-soft.ru,yes,
https://voronezh.1cbit.ru,vrn@1cbit.ru,yes,
https://voronezh.1cbit.ru,lk36@1cbit.ru,yes,
https://portal-yug.ru,mail@portal-yug.ru,yes,
https://spb.1cbit.ru,,,
https://www.venkon.uz,info@venkon.uz,yes,
https://www.servicetrend.ru,,,
https://lad-corp.ru,erp@lad24.ru,no,
https://lad-corp.ru,pr@lad-corp.ru,yes,
https://www.vdgb.ru,,,
https://globals.ru,smk@globals.ru,yes,
https://globals.ru,mail@globals.ru,yes,
https://globals.ru,2312090300@mail.ru,no,
https://globals.ru,lk@globals.ru,yes,
https://globals.ru,crimea@globals.ru,yes,
https://chelyabinsk.1cbit.ru,,,
https://www.f1soft.ru,1c@f1soft.ru,yes,
https://1c-prime.ru,,,
https://www.inter-soft.ru,info@inter-soft.ru,yes,
https://www.inter-soft.ru,smk@inter-soft.ru,yes,
https://www.inter-soft.ru,grand@info-proect.ru,no,
https://www.inter-soft.ru,info@intersoft-it.ru,no,
https://aprsoft.ru,aprsoft@aprilnn.ru,no,
https://aprsoft.ru,hotline@aprilnn.ru,no,
https://aprsoft.ru,its@aprilnn.ru,no,
https://aprsoft.ru,po@aprilnn.ru,no,
https://aprsoft.ru,uc@aprilnn.ru,no,
https://aprsoft.ru,partner@aprilnn.ru,no,
https://aprsoft.ru,job@aprilnn.ru,no,
https://soft-market.ru,client-spb@soft-market.ru,yes,
https://agentura-soft.ru,sale@agentura-soft.ru,yes,
https://www.hs.by,1c@hs.by,yes,
https://kazan.1cbit.ru,,,
https://www.avtomatizator.ru,sale@avtomatizator.ru,yes,
https://fort.crimea.com,sales@fort.crimea.com,yes,
https://fort.crimea.com,hotline@fort.crimea.com,yes,
https://sb-vnedr.ru,zakaz@sb-vnedr.ru,yes,
https://sb-vnedr.ru,konysheva@softbalance.ru,no,
https://sb-vnedr.ru,its@softbalance.ru,no,
https://sb-vnedr.ru,1c-open@softbalance.ru,no,
https://sb-vnedr.ru,sb-web@softbalance.ru,no,
https://sb-vnedr.ru,solovjeva@softbalance.ru,no,
https://sb-vnedr.ru,zakaz@sb-vnedr.ru.ru,no,
https://www.1cbit.kz,info.almaty@1cbit.ru,no,
https://www.1cbit.kz,almaty@1cbit.ru,no,
https://www.1cbit.kz,hotlineqz@1cbit.ru,no,
https://krasnodar.1cbit.ru,kuban@1cbit.ru,yes,
https://krasnodar.1cbit.ru,krasnodar@1cbit.ru,yes,
https://samara.1cbit.ru,,,
https://itex.ru,,,
https://nizhniy.1cbit.ru,,,
https://rostov.1cbit.ru,,,
https://tyumen.1cbit.ru,,,
https://1sab.ru,its@1sab.ru,yes,
https://spb.koderline.ru,,,
https://saratov.1cbit.ru,,,
https://iskrapro.ru,zakazpo@iskrapro.ru,yes,
https://www.wizard-c.ru,sova1c@wizard-c.ru,yes,
https://krasnodar.koderline.ru,,,
https://sovetnik1c.ru,,,
https://www.pulsar.ru,2344441@1cbit.ru,no,
https://irkutsk.1cbit.ru,,,
https://burg.1cbit.ru,,,
https://kaliningrad.1cbit.ru,kaliningrad@1cbit.ru,yes,
https://omsk.1cbit.ru,,,
https://www.vectro.ru,,,
https://www.asp-1c.ru,,,
https://krasnoyarsk.1cbit.ru,,,
https://www.forus.ru,sales@forus.ru,yes,
https://www.forus.ru,otdel-its@forus.ru,yes,
https://www.forus.ru,1cbo@forus.ru,yes,
https://www.forus.ru,it@forus.ru,yes,
https://www.forus.ru,fresh-support@forus.ru,yes,
https://www.forus.ru,eoks@forus.ru,yes,
https://www.forus.ru,umc@forus.ru,yes,
https://www.forus.ru,personal@forus.ru,yes,
https://leading.uz,info@leading.uz,yes,
https://umsol.ru,support@umsol.ru,yes,
https://umsol.ru,1c@umsol.ru,yes,
https://www.ericos.ru,office@ericos.ru,yes,
https://www.ericos.ru,aib@corp.aib.ru,no,
https://rg-soft.ru,,,
https://www.sfx-tula.ru,sfx@sfx-tula.ru,yes,
https://argos1c.ru,info@argos1c.ru,yes,
https://astana.1cbit.kz,astana@1cbit.ru,no,
https://astana.1cbit.kz,hotlineqz@1cbit.ru,no,
https://www.1c-ksu.ru,1c-ksu@1c-ksu.ru,yes,
https://www.1c-ksu.ru,sales@1c-ksu.ru,yes,
https://www.misoft.by,,,
https://www.softservice.by,1c@softservice.by,yes,
https://www.dialogit.ru,it@dialogit.ru,yes,
https://www.dialogit.ru,hr@dialogit.ru,yes,
https://ufa.1cbit.ru,,,
https://buroit.org,1c@buroit.org,yes,
https://www.firmakin.ru,1c@firmakin.ru,yes,
https://kkmz.ru,info@kkmz.ru,yes,
https://kkmz.ru,info@next.aspro-demo.ru,no,
https://tomsk.1cbit.ru,,,
https://wejet.ru,mail@wejet.ru,yes,
https://wiseadvice-it.ru,welcome@wiseadvice-it.ru,yes,
https://4dk-soft.ru,tlm1c@4dk.ru,no,
https://novosibirsk.1cbit.ru,,,
https://1c-rating.kz,1c-sales-center@1c-rating.kz,yes,
https://1c-rating.kz,zakaz@1c-rating.kz,yes,
https://www.bs1c.ru,,,
https://kazan.ceavt.ru,kazan@ceavt.ru,yes,
https://kazan.ceavt.ru,sale@ceavt.ru,yes,
https://www.ric-1c.ru,,,
https://1c-sapa.kz,sales@1c-sapa.kz,yes,
https://1c-sapa.kz,hotline@1c.kz,no,
https://automate.ru,sale@automate.ru,yes,
https://automate.ru,sverd@automate.ru,yes,
https://automate.ru,vve@automate.ru,yes,
https://automate.ru,hline@automate.ru,yes,
https://automate.ru,marat@automate.ru,yes,
https://averson.by,averson@averson.by,yes,
https://rarus-crimea.ru,sevastopol@rarus.ru,no,
https://rarus-crimea.ru,smb.sev@rarus.ru,no,
https://rarus-crimea.ru,corp.sev@rarus.ru,no,
https://rarus-crimea.ru,hotline.sev@rarus.ru,no,
https://rarus-crimea.ru,its.sev@rarus.ru,no,
https://rarus-crimea.ru,edoc.sev@rarus.ru,no,
https://rarus-crimea.ru,sec.sev@rarus.ru,no,
https://www.gkk.ru,flist@gkk.ru,yes,
https://novoros.1cbit.ru,,,
https://www.avtorsoft.ru,yola@rarus.ru,no,
https://www.programteh.ru,msk@programteh.ru,yes,
https://neosystems.ru,promo@neosystems.ru,yes,
https://www.is.by,info@is.by,yes,
https://www.stavanalit.ru,zakaz@stavanalit.ru,yes,
