site,email,on_partner_domain
https://is1c.ru,info@is1c.ru,yes
https://axioma-soft.ru,info@axioma-soft.ru,yes
https://portal-yug.ru,mail@portal-yug.ru,yes
https://www.venkon.uz,info@venkon.uz,yes
https://lad-corp.ru,pr@lad-corp.ru,yes
https://globals.ru,smk@globals.ru,yes
https://globals.ru,mail@globals.ru,yes
https://globals.ru,lk@globals.ru,yes
https://globals.ru,crimea@globals.ru,yes
https://www.f1soft.ru,1c@f1soft.ru,yes
https://www.inter-soft.ru,info@inter-soft.ru,yes
https://www.inter-soft.ru,smk@inter-soft.ru,yes
https://aprsoft.ru,aprsoft@aprilnn.ru,no
https://aprsoft.ru,hotline@aprilnn.ru,no
https://aprsoft.ru,its@aprilnn.ru,no
https://aprsoft.ru,po@aprilnn.ru,no
https://aprsoft.ru,uc@aprilnn.ru,no
https://aprsoft.ru,partner@aprilnn.ru,no
https://aprsoft.ru,job@aprilnn.ru,no
https://soft-market.ru,client-spb@soft-market.ru,yes
https://agentura-soft.ru,sale@agentura-soft.ru,yes
https://www.hs.by,1c@hs.by,yes
https://www.avtomatizator.ru,sale@avtomatizator.ru,yes
https://fort.crimea.com,sales@fort.crimea.com,yes
https://fort.crimea.com,hotline@fort.crimea.com,yes
https://1sab.ru,its@1sab.ru,yes
https://iskrapro.ru,zakazpo@iskrapro.ru,yes
https://www.wizard-c.ru,sova1c@wizard-c.ru,yes
https://www.pulsar.ru,2344441@1cbit.ru,no
https://www.forus.ru,sales@forus.ru,yes
https://www.forus.ru,otdel-its@forus.ru,yes
https://www.forus.ru,1cbo@forus.ru,yes
https://www.forus.ru,it@forus.ru,yes
https://www.forus.ru,fresh-support@forus.ru,yes
https://www.forus.ru,eoks@forus.ru,yes
https://www.forus.ru,umc@forus.ru,yes
https://www.forus.ru,personal@forus.ru,yes
https://leading.uz,info@leading.uz,yes
https://umsol.ru,support@umsol.ru,yes
https://umsol.ru,1c@umsol.ru,yes
https://www.ericos.ru,office@ericos.ru,yes
https://www.sfx-tula.ru,sfx@sfx-tula.ru,yes
https://argos1c.ru,info@argos1c.ru,yes
https://www.1c-ksu.ru,1c-ksu@1c-ksu.ru,yes
https://www.1c-ksu.ru,sales@1c-ksu.ru,yes
https://www.softservice.by,1c@softservice.by,yes
https://www.dialogit.ru,it@dialogit.ru,yes
https://www.dialogit.ru,hr@dialogit.ru,yes
https://buroit.org,1c@buroit.org,yes
https://www.firmakin.ru,1c@firmakin.ru,yes
https://kkmz.ru,info@kkmz.ru,yes
https://wejet.ru,mail@wejet.ru,yes
https://4dk-soft.ru,tlm1c@4dk.ru,no
https://1c-rating.kz,1c-sales-center@1c-rating.kz,yes
https://1c-rating.kz,zakaz@1c-rating.kz,yes
https://kazan.ceavt.ru,kazan@ceavt.ru,yes
https://kazan.ceavt.ru,sale@ceavt.ru,yes
https://1c-sapa.kz,sales@1c-sapa.kz,yes
https://automate.ru,sale@automate.ru,yes
https://automate.ru,sverd@automate.ru,yes
https://automate.ru,vve@automate.ru,yes
https://automate.ru,hline@automate.ru,yes
https://automate.ru,marat@automate.ru,yes
https://averson.by,averson@averson.by,yes
https://www.gkk.ru,flist@gkk.ru,yes
https://www.avtorsoft.ru,yola@rarus.ru,no
https://www.programteh.ru,msk@programteh.ru,yes
https://neosystems.ru,promo@neosystems.ru,yes
https://www.is.by,info@is.by,yes
https://www.stavanalit.ru,zakaz@stavanalit.ru,yes
https://www.stavanalit.ru,doc@stavanalit.ru,yes
https://b-rs.ru,1c@b-rs.ru,yes
https://omegafuture.ru,info@omegafuture.ru,yes
https://omegafuture.ru,commerce@omegafuture.ru,yes
https://www.auperm.ru,auperm@auperm.ru,yes
https://www.auperm.ru,berezniki@auperm.ru,yes
https://www.expert-rzn.ru,hline.expert@mail.ru,no
https://asoft48.ru,asoft@asoft48.ru,yes
https://asoft48.ru,hr@asoft48.ru,yes
https://asoft48.ru,manager@asoft48.ru,yes
https://asoft48.ru,buh@asoft48.ru,yes
https://asoft48.ru,elpet@asoft48.ru,yes
https://www.homnet.ru,info@homnet.ru,yes
https://www.raytec.pro,info@raytec.pro,yes
https://www.1c-usoft.ru,1c@1c-usoft.ru,yes
https://www.prorise.ru,info@prorise.ru,yes
https://www.vcbalance.ru,info@vcbalance.ru,yes
https://www.vcbalance.ru,terekhov@vcbalance.ru,yes
https://consol-1c.com,consol@consol-1c.com,yes
https://www.soft-portal.ru,dms@koderline.com,no
https://www.corpsoft24.ru,corp@corpsoft24.ru,yes
https://itcons76.ru,msk@1c.yar.ru,no
https://www.gbsoft.by,info@gbsoft.by,yes
https://gkreshenie.ru,r.resh39@gmail.com,no
https://www.4isla.ru,it@4isla.ru,yes
https://balns.ru,info@balns.ru,yes
https://1soft.by,office@1soft.by,yes
https://www.lidersoft21.ru,1c@lidersoft21.ru,yes
https://www.lidersoft21.ru,info@lidersoft21.ru,yes
https://www.korund-s.ru,info@korund-s.ru,yes
https://www.fides.uz,info@fides.uz,yes
https://www.gigansk.ru,info@gigansk.ru,yes
https://cit-ivanovo.ru,1c@ruitb.ru,no
https://cit-ivanovo.ru,mail@ruitb.ru,no
https://www.soft-servis.ru,zakaz@soft-servis.ru,yes
https://www.soft-servis.ru,mail@soft-servis.ru,yes
https://www.dialogs.kz,info@dialogs.kz,yes
https://www.dialogs.kz,cso@dialogs.kz,yes
https://www.dialogs.kz,pvl@dialogs.kz,yes
https://www.gradum.ru,info@gradum.ru,yes
https://tyumen-soft.ru,info@tyumen-soft.ru,yes
https://tyumen-soft.ru,its@tyumen-soft.ru,yes
https://tyumen-soft.ru,kurs@tyumen-soft.ru,yes
https://tyumen-soft.ru,digital@tyumen-soft.ru,yes
https://tyumen-soft.ru,grand@tyumen-soft.ru,yes
https://tyumen-soft.ru,kachestvo@tyumen-soft.ru,yes
https://tyumen-soft.ru,marketing@tyumen-soft.ru,yes
https://tyumen-soft.ru,aev@tyumen-soft.ru,yes
https://1cab.ru,info@1cab.ru,yes
https://1cab.ru,1c@1cab.ru,yes
https://1cab.ru,job@1cab.ru,yes
https://volok.r-av.ru,volok@r-av.ru,yes
https://volok.r-av.ru,sa@r-av.ru,yes
https://www.online-ufa.ru,online@online-ufa.ru,yes
https://www.online-ufa.ru,soft@online-ufa.ru,yes
https://www.online-ufa.ru,dist@online-ufa.ru,yes
https://www.online-ufa.ru,its@online-ufa.ru,yes
https://www.online-ufa.ru,cso@online-ufa.ru,yes
https://www.online-ufa.ru,fran@online-ufa.ru,yes
https://www.online-ufa.ru,help@online-ufa.ru,yes
https://www.online-ufa.ru,uz@online-ufa.ru,yes
https://www.online-ufa.ru,uuc@online-ufa.ru,yes
https://www.online-ufa.ru,hard@online-ufa.ru,yes
https://www.online-ufa.ru,zakaz@online-ufa.ru,yes
https://softer.ru,tehnosoft@mail.ru,no
https://softer.ru,mail@example.ru,no
https://efsol.ru,efsol@efsol.ru,yes
https://efsol.ru,hrteam@efsol.ru,yes
https://tu-don.ru,manager@tu-don.ru,yes
https://megkom.ru,client@megkom.ru,yes
https://linecore.ru,info@linecore.ru,yes
https://www.szv.ru,info@szv.ru,yes
https://www.tolyatisoft.ru,tol_soft@mail.ru,no
https://www.biz-it.ru,mail@biz-it.ru,yes
https://www.sys.by,info@sys.by,yes
https://www.1c-pa.ru,info@1c-pa.ru,yes
https://grandproject.ru,info@grandproject.ru,yes
https://nfp2b.ru,info@nfp2b.ru,yes
https://volga-soft.ru,volgograd@volga-soft.ru,yes
https://www.бестсофт.рф,info@bestsoft1c.ru,no
https://www.jukola.info,office@jukola.info,yes
https://1cistline.ru,nsk@1cistline.ru,yes
https://1cistline.ru,kem@1cistline.ru,yes
https://1cistline.ru,1c@1cistline.ru,yes
https://66soft.ru,mail@1c-nt.ru,no
https://www.tlink.ru,1c@tlink.ru,yes
https://www.tlink.ru,zakaz@tlink.ru,yes
https://plast.com.kz,info@plast.com.kz,yes
https://plast.com.kz,hline@plast.com.kz,yes
https://softside.ru,ss@softside.ru,yes
https://www.kutuzov-it.com,1c@kutuzov-it.com,yes
https://prominfo.org,info@prominfo.org,yes
https://1ccl.ru,cl@1ccl.ru,yes
https://www.logos-k.ru,logos@logos-k.ru,yes
https://www.arsansoft.ru,info@arsansoft.ru,yes
https://spau.ru,info@spau.ru,yes
https://spau.ru,market@spau.ru,yes
https://academyka.by,sales@academyka.by,yes
https://academyka.by,marketing@academyka.by,yes
https://www.1c-ural.ru,sales@1c-ural.ru,yes
https://www.1c-ural.ru,support@1c-ural.ru,yes
https://www.1c-ural.ru,class@1c-ural.ru,yes
https://www.1c-ural.ru,pressa@1c-ural.ru,yes
https://rauit.ru,info@rauit.ru,yes
https://rauit.ru,e.przhibysh@rauit.ru,yes
https://rauit.ru,v.ankudinova@rauit.ru,yes
https://rauit.ru,a.borodina@rauit.ru,yes
https://www.portal-yug.ru,mail@portal-yug.ru,yes
https://www.komkon.ru,sales@komkon.ru,yes
https://www.komkon.ru,info@komkon.ru,yes
https://www.izhsm.ru,izhsm@izhsm.ru,yes
https://www.65555.ru,1c@65555.ru,yes
https://rosinfo63.ru,1c@rosinfo63.ru,yes
https://rosinfo63.ru,sale@rosinfo63.ru,yes
https://rosinfo63.ru,its@rosinfo63.ru,yes
https://ckand.ru,1c@ckand.ru,yes
https://rumicon.ru,info@rumicon.ru,yes
https://vc-lan.ru,1c-sales@c-lan.ru,no
https://www.khakasia.ru,mail@khakasia.ru,yes
https://www.khakasia.ru,sales@khakasia.ru,yes
https://www.khakasia.ru,web@khakasia.ru,yes
https://www.khakasia.ru,personal@khakasia.ru,yes
https://www.khakasia.ru,sayanogorsk@khakasia.ru,yes
https://a-data.pro,info@a-data.pro,yes
https://www.aksioma-gk.ru,info@aksioma-gk.ru,yes
https://elitesoft.by,info@elitesoft.by,yes
https://elitesoft.by,support@elitesoft.by,yes
https://intellect48.ru,sales@intellekt48.ru,no
